flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,angular_scaled,1.5,5,2488,24.87,2.144,21.377,0.1242
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,P+R_only,1.0,3,2523,25.22,10.503,116.206,0.4479
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,P+R_only,1.0,4,2609,26.08,4.635,104.024,0.3223
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,P+R_only,1.0,5,2488,24.87,23.851,99.517,0.5635
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,P+R_only,1.5,3,2523,25.22,6.565,56.765,0.2913
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,P+R_only,1.5,4,2609,26.08,3.682,29.98,0.1863
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,P+R_only,1.5,5,2488,24.87,7.141,142.007,0.4393
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,baseline,1.0,3,2509,25.22,7.031,110.5,0.3627
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,baseline,1.0,4,2597,26.06,3.066,53.695,0.1975
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,baseline,1.0,5,2477,24.86,4.802,60.782,0.285
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,baseline,1.5,3,2509,25.22,2.905,52.346,0.173
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,baseline,1.5,4,2597,26.06,2.165,16.33,0.1032
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,baseline,1.5,5,2477,24.86,3.817,26.388,0.1611
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,no_thr,1.0,3,2509,25.22,3.97,109.06,0.2435
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,no_thr,1.0,4,2597,26.06,2.111,30.533,0.1575
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,no_thr,1.0,5,2477,24.86,4.117,39.276,0.2196
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,no_thr,1.5,3,2509,25.22,3.393,31.373,0.2033
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,no_thr,1.5,4,2597,26.06,2.27,10.492,0.057
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,no_thr,1.5,5,2477,24.86,3.216,33.065,0.1607
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R,1.0,3,2509,25.22,37.609,136.268,0.6305
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R,1.0,4,2597,26.06,59.094,135.54,0.7385
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R,1.0,5,2477,24.86,43.607,127.719,0.7073
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R,1.5,3,2509,25.22,5.906,93.966,0.3659
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R,1.5,4,2597,26.06,8.171,57.949,0.3735
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+R,1.5,5,2477,24.86,10.977,104.811,0.4594
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Y+P+2R,1.0,3,2509,25.22,4.014,100.427,0.33
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Y+P+2R,1.0,4,2597,26.06,2.51,90.092,0.2045
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Y+P+2R,1.0,5,2477,24.86,5.603,96.423,0.329
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Y+P+2R,1.5,3,2509,25.22,2.302,33.653,0.1881
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Y+P+2R,1.5,4,2597,26.06,1.617,7.796,0.0477
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Y+P+2R,1.5,5,2477,24.86,2.65,30.595,0.1558
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,R+Y_only,1.0,3,2509,25.22,3.183,97.933,0.2152
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,R+Y_only,1.0,4,2597,26.06,1.988,20.428,0.1151
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,R+Y_only,1.0,5,2477,24.86,4.81,104.38,0.3141
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,R+Y_only,1.5,3,2509,25.22,2.313,39.574,0.1698
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,R+Y_only,1.5,4,2597,26.06,1.355,7.08,0.0208
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,R+Y_only,1.5,5,2477,24.86,2.171,15.382,0.1074
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+P+R,1.0,3,2509,25.22,82.078,129.22,0.7796
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+P+R,1.0,4,2597,26.06,16.406,98.815,0.5098
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+P+R,1.0,5,2477,24.86,13.786,94.342,0.4897
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+P+R,1.5,3,2509,25.22,10.294,119.833,0.4436
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+P+R,1.5,4,2597,26.06,2.945,45.682,0.186
2,MadTrainer,RedSheep_rate,same_drone,RC+Rate,Thr+P+R,1.5,5,2477,24.86,7.473,40.914,0.3585
