ref_source,ref_drone,flight_id,test_drone,drone_cond,lap_selection,n_laps,smooth_w,test_lap,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,15,3,2509,25.217001914978027,1.9596628536112348,8.614490939608004,0.013949780789159028
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,15,4,2597,26.059934854507446,1.8121566769881952,7.8137439885737825,0.03850596842510589
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,3,15,5,2477,24.85981011390686,1.9682768791046996,7.273582438587642,0.0036334275333064193
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,1,3,2509,25.217001914978027,1.7200063466382005,7.276514484743467,0.026703866082104424
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,1,4,2597,26.059934854507446,1.28960480288535,4.847622396189556,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,1,5,2477,24.85981011390686,1.5753112935639138,6.009589437044571,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,3,3,2509,25.217001914978027,1.7574909143404227,7.212620280287575,0.013949780789159028
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,3,4,2597,26.059934854507446,1.406352739217425,5.056468651055877,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,3,5,2477,24.85981011390686,1.772630137941377,6.210768542469197,0.0
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,5,3,2509,25.217001914978027,1.5185296279131535,7.925264220046221,0.037465125548027105
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,5,4,2597,26.059934854507446,1.2628166855115524,5.222310300068367,0.011551790527531768
MT_ref,MadTrainer,2,MadTrainer,same_drone,median_time,5,5,5,2477,24.85981011390686,1.7724903120953073,6.3906569953524075,0.0
