condition,test_session,sigma_cam,T_update,seed,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
same_drone,MT_s004,1.0,1.0,2,3,3,2665,26.740379095077515,1.3276082897138508,3.8715978212841433,0.0
same_drone,MT_s004,1.0,1.0,2,4,4,2618,26.25896406173706,1.1371560490894126,3.2480588595410085,0.0
same_drone,MT_s004,1.0,1.0,2,5,5,2530,25.401978969573975,1.0761550962996296,3.5989609403405676,0.0
same_drone,MT_s004,1.0,1.0,2,6,6,2525,25.403844833374023,1.0101988828112454,4.155012775740941,0.0035643564356435645
same_drone,MT_s004,1.0,1.0,2,7,7,2722,27.329137802124023,1.4401539126324963,7.798164779607791,0.035635562086700955
same_drone,MT_s004,1.0,1.0,2,8,8,2312,23.212925910949707,0.987447156837451,4.063665738028121,0.0
same_drone,MT_s004,1.0,1.0,2,9,9,2312,23.21662998199463,1.0928950805112976,3.411880356198345,0.0
same_drone,MT_s004,1.0,1.0,2,10,10,2346,23.52618908882141,1.4077457586331263,4.238173873097812,0.013640238704177323
same_drone,MT_s004,1.0,1.0,2,11,11,2666,26.786911964416504,1.5579954967487453,9.514705889320176,0.07014253563390847
same_drone,MT_s004,1.0,1.0,2,12,12,2344,23.593735933303833,1.0851170898597076,4.263522292414262,0.012372013651877133
same_drone,MT_s004,1.0,1.0,2,13,13,2307,23.15007710456848,1.2624930056792323,3.440282076256733,0.00043346337234503684
same_drone,MT_s004,1.0,1.0,2,14,14,2625,26.3830509185791,1.4438507381288446,4.32781352000965,0.007238095238095238
same_drone,MT_s004,1.0,1.0,2,15,15,2334,23.44292402267456,0.8933222719508223,3.839983707752735,0.019280205655526992
same_drone,MT_s004,1.0,1.0,3,1,1,2472,24.886879920959473,1.2201659902252544,4.175864315037266,0.0
same_drone,MT_s004,1.0,1.0,3,2,2,2524,25.33614683151245,1.4625804699302876,4.169270894588204,0.0
same_drone,MT_s004,1.0,1.0,3,3,3,2665,26.740379095077515,1.0298065471263271,3.510130211117473,0.0
same_drone,MT_s004,1.0,1.0,3,4,4,2618,26.25896406173706,1.1811338975600307,3.236860633120262,0.0
same_drone,MT_s004,1.0,1.0,3,5,5,2530,25.401978969573975,1.1839853978369987,4.243884952038229,0.0
same_drone,MT_s004,1.0,1.0,3,6,6,2525,25.403844833374023,1.144587504517034,3.768042986779996,0.005544554455445544
same_drone,MT_s004,1.0,1.0,3,7,7,2722,27.329137802124023,1.3654682676637009,8.386296337870014,0.07788390889052167
same_drone,MT_s004,1.0,1.0,3,8,8,2312,23.212925910949707,1.108829910194956,4.079697209167314,0.0
same_drone,MT_s004,1.0,1.0,3,9,9,2312,23.21662998199463,1.1736769662165685,3.7250597927103266,0.0
same_drone,MT_s004,1.0,1.0,3,10,10,2346,23.52618908882141,1.2949436616677588,3.7035248506653033,0.013640238704177323
same_drone,MT_s004,1.0,1.0,3,11,11,2666,26.786911964416504,1.4598203993505763,7.473237520103758,0.0536384096024006
same_drone,MT_s004,1.0,1.0,3,12,12,2344,23.593735933303833,1.5167950113691262,5.890434665637736,0.01877133105802048
same_drone,MT_s004,1.0,1.0,3,13,13,2307,23.15007710456848,1.2154531169755387,3.4504313472027746,0.0
same_drone,MT_s004,1.0,1.0,3,14,14,2625,26.3830509185791,1.179105893197118,4.177048424285391,0.0
same_drone,MT_s004,1.0,1.0,3,15,15,2334,23.44292402267456,0.8871089610159686,4.16591051289014,0.02056555269922879
same_drone,MT_s004,1.0,1.0,4,1,1,2472,24.886879920959473,1.552390804017051,4.538787991078008,0.0
same_drone,MT_s004,1.0,1.0,4,2,2,2524,25.33614683151245,1.3716469998241507,5.961909218863842,0.01347068145800317
same_drone,MT_s004,1.0,1.0,4,3,3,2665,26.740379095077515,1.003851874358915,3.1954673780208167,0.0
same_drone,MT_s004,1.0,1.0,4,4,4,2618,26.25896406173706,1.0560146207432979,3.4765210362004466,0.0
same_drone,MT_s004,1.0,1.0,4,5,5,2530,25.401978969573975,1.045366859608194,3.293987913755071,0.0
same_drone,MT_s004,1.0,1.0,4,6,6,2525,25.403844833374023,1.1638097528455944,4.365769807512719,0.005544554455445544
same_drone,MT_s004,1.0,1.0,4,7,7,2722,27.329137802124023,1.4799075357019404,7.297397217169558,0.04922850844966936
same_drone,MT_s004,1.0,1.0,4,8,8,2312,23.212925910949707,1.0015775709518806,3.8091102410326942,0.0
same_drone,MT_s004,1.0,1.0,4,9,9,2312,23.21662998199463,1.0771529447275103,3.876384541044115,0.0
same_drone,MT_s004,1.0,1.0,4,10,10,2346,23.52618908882141,1.3122300606077495,4.357941243063138,0.013640238704177323
same_drone,MT_s004,1.0,1.0,4,11,11,2666,26.786911964416504,1.5644054780588554,9.250493173537023,0.04538634658664666
same_drone,MT_s004,1.0,1.0,4,12,12,2344,23.593735933303833,1.3130519807430403,4.439476670600714,0.011945392491467578
same_drone,MT_s004,1.0,1.0,4,13,13,2307,23.15007710456848,1.160855205477759,3.8137245990046216,0.0
same_drone,MT_s004,1.0,1.0,4,14,14,2625,26.3830509185791,1.2125561312019002,4.0447746013177035,0.007238095238095238
same_drone,MT_s004,1.0,1.0,4,15,15,2334,23.44292402267456,0.9738686211987471,3.8282793769851575,0.017566409597257925
same_drone,MT_s004,1.0,2.0,0,1,1,2472,24.886879920959473,1.651465251525039,5.508193400389613,0.0
same_drone,MT_s004,1.0,2.0,0,2,2,2524,25.33614683151245,1.7961923516585863,6.124644010268319,0.002377179080824089
same_drone,MT_s004,1.0,2.0,0,3,3,2665,26.740379095077515,1.6688829686799806,4.540578228775961,0.028893058161350845
same_drone,MT_s004,1.0,2.0,0,4,4,2618,26.25896406173706,1.0746996921276377,3.9829046814409907,0.0
same_drone,MT_s004,1.0,2.0,0,5,5,2530,25.401978969573975,1.0803976476841655,3.624131522964515,0.0
same_drone,MT_s004,1.0,2.0,0,6,6,2525,25.403844833374023,1.6976339929632331,5.956266083380275,0.002772277227722772
